losses,recalls
0.7019176,0.032
0.7573602,0.028
0.6981785,0.052
0.71567005,0.038
0.71081805,0.024
0.67870253,0.06
0.6768573,0.034
0.67280364,0.05
0.6837673,0.03
0.67810494,0.026
0.6591709,0.03
0.65379924,0.046
0.6627795,0.02
0.6722149,0.022
0.6713695,0.034
0.6504822,0.03
0.6447602,0.038
0.6470756,0.022
0.64348245,0.028
0.6417745,0.024
0.6346454,0.016
0.64497364,0.048
0.6255363,0.018
0.62608474,0.028
0.6186339,0.03
0.627619,0.034
0.6341087,0.024
0.6205141,0.026
0.61720777,0.022
0.60271424,0.024
0.6266274,0.028
0.61461025,0.014
0.60692936,0.02
0.6005283,0.018
0.6084032,0.022
0.60206854,0.028
0.59821504,0.018
0.6004487,0.012
0.5974936,0.012
0.59522,0.01
0.59083724,0.014
0.5942815,0.004
0.5898088,0.012
0.58731794,0.036
0.59129137,0.012
0.59055334,0.026
0.5865803,0.024
0.58911705,0.018
0.58848834,0.032
0.5899515,0.018
0.58462405,0.008
0.58921033,0.02
0.58463734,0.038
0.5877664,0.014
0.5868766,0.026
0.58512586,0.022
0.58565223,0.014
0.58635455,0.012
0.5861638,0.018
0.58510137,0.028
0.5859794,0.016
0.5871106,0.024
0.58522254,0.048
0.5861143,0.032
0.5837037,0.032
0.58584374,0.026
0.5834832,0.016
0.58383846,0.028
0.57861274,0.012
0.58392316,0.014
0.58465993,0.028
0.58384347,0.02
0.5799631,0.02
0.58041364,0.02
0.5791851,0.01
0.5841606,0.022
0.58137167,0.022
0.5808346,0.03
0.57897407,0.018
0.5819426,0.02
0.58369845,0.032
0.58610946,0.012
0.5785842,0.024
0.58130753,0.018
0.5819272,0.028
0.5801999,0.022
0.5826416,0.032
0.5852797,0.008
0.584855,0.016
0.58093864,0.032
0.5796528,0.022
0.5788027,0.018
0.58343476,0.024
0.57767993,0.024
0.5794941,0.024
0.58050174,0.022
0.58220655,0.012
0.58049405,0.018
0.57730174,0.03
0.5819414,0.008
0.58571863,0.024
0.5799725,0.004
0.58058244,0.022
0.58010197,0.012
0.58116776,0.018
0.5802343,0.008
0.5781042,0.016
0.5780709,0.026
0.5810637,0.02
0.58206296,0.032
0.57824403,0.04
0.58254474,0.012
0.57776564,0.008
0.58149976,0.022
0.5802446,0.008
0.57757986,0.022
0.5825204,0.024
0.5749303,0.014
0.5767109,0.018
0.57960826,0.016
0.5794325,0.026
0.58294827,0.02
0.58066094,0.018
0.57802963,0.018
0.5822703,0.018
0.5774426,0.016
0.5819875,0.012
0.5823347,0.008
0.5820412,0.01
0.5807472,0.006
0.579772,0.016
0.58143693,0.004
0.5806506,0.018
0.5783782,0.028
0.5752383,0.02
0.57940906,0.016
0.5765809,0.022
0.5823718,0.014
0.5779206,0.02
0.5777712,0.016
0.5810004,0.03
0.58187467,0.034
0.57878095,0.018
0.5891838,0.02
0.5813491,0.028
0.58082736,0.024
0.5796024,0.02
0.5800474,0.02
0.5840385,0.014
0.581439,0.02
0.58251303,0.01
0.5786619,0.016
0.5798491,0.02
0.5809938,0.018
0.57932717,0.024
0.58116007,0.016
