losses,recalls
0.8012704,0.028
0.9177025,0.014
0.9192246,0.008
0.91954815,0.028
0.91969097,0.01
0.9197562,0.014
0.9198026,0.016
0.9198314,0.016
0.91985136,0.012
0.91986555,0.02
0.91987664,0.034
0.91988695,0.026
0.91989344,0.012
0.9199004,0.026
0.91990495,0.02
0.9199089,0.026
0.91991234,0.022
0.9199154,0.014
0.9199175,0.016
0.9199204,0.008
0.91992337,0.006
0.91992396,0.016
0.9199256,0.014
0.91992706,0.018
0.9199282,0.012
0.91992927,0.004
0.91993034,0.016
0.91993123,0.02
0.9199318,0.016
0.91993165,0.02
0.9199326,0.016
0.91993403,0.016
0.91993296,0.024
0.9199336,0.012
0.9199346,0.016
0.91993535,0.012
0.919935,0.026
0.9199359,0.018
0.91993535,0.032
0.9199367,0.02
0.91993564,0.024
0.91993666,0.02
0.9199364,0.024
0.91993684,0.01
0.91993695,0.022
0.9199371,0.024
0.919938,0.016
0.9199371,0.022
0.9199372,0.018
0.9199375,0.026
0.91993684,0.016
0.91993827,0.026
0.91993773,0.018
0.9199373,0.012
0.91993856,0.024
0.91993785,0.02
0.91993815,0.02
0.91993815,0.02
0.91993785,0.014
0.9199379,0.03
0.91993773,0.012
0.9199376,0.006
0.91993773,0.02
0.91993815,0.016
0.91993827,0.026
0.919938,0.02
0.919938,0.012
0.9199379,0.01
0.9199384,0.016
0.9199376,0.012
0.9199384,0.024
0.9199379,0.022
0.9199384,0.022
0.9199379,0.008
0.9199379,0.016
0.91993654,0.018
0.91993773,0.022
0.9199373,0.016
0.9199374,0.01
0.9199373,0.016
0.9199371,0.022
0.91993695,0.012
0.91993695,0.01
0.91993684,0.018
0.9199371,0.016
0.9199375,0.026
0.91993666,0.018
0.9199375,0.02
0.91993684,0.02
0.91993666,0.006
0.9199375,0.01
0.9199364,0.03
0.91993684,0.018
0.9199371,0.014
0.91993666,0.008
0.9199375,0.014
0.91993654,0.026
0.919936,0.014
0.9199373,0.018
0.9199373,0.016
0.9199367,0.02
0.9199371,0.03
0.91993684,0.022
0.91993654,0.016
0.9199374,0.012
0.9199375,0.024
0.91993666,0.02
0.9199355,0.018
0.9199362,0.02
0.91993695,0.016
0.91993576,0.018
0.91993684,0.012
0.91993684,0.016
0.9199371,0.01
0.919936,0.016
0.9199367,0.02
0.9199352,0.03
0.9199362,0.024
0.9199351,0.012
0.9199375,0.012
0.9199359,0.014
0.9199355,0.014
0.91993535,0.008
0.9199362,0.01
0.91993487,0.012
0.919936,0.018
0.91993684,0.008
0.91993576,0.016
0.91993564,0.012
0.919936,0.016
0.9199346,0.012
0.91993564,0.018
0.919935,0.016
0.91993666,0.014
0.91993487,0.026
0.9199362,0.02
0.9199355,0.014
0.91993564,0.014
0.91993445,0.016
0.9199351,0.018
0.91993487,0.012
0.9199347,0.016
0.91993445,0.018
0.91993535,0.02
0.91993535,0.016
0.9199348,0.016
0.9199351,0.012
0.9199343,0.014
0.9199347,0.014
0.91993487,0.04
0.9199339,0.028
0.9199351,0.028
0.91993415,0.018
0.91993403,0.028
0.9199343,0.036
0.9199343,0.014
0.9199346,0.012
0.9199339,0.016
0.9199337,0.018
