losses,recalls
1.0346706,0.16
1.018203,0.16
1.0323157,0.132
1.0095328,0.152
0.99063987,0.156
0.95498717,0.154
0.94761,0.134
0.93205297,0.208
0.9209664,0.202
0.92770326,0.162
0.92062914,0.16
0.92130363,0.172
0.8977072,0.194
0.8993716,0.168
0.8905409,0.202
0.89264244,0.176
0.89218,0.162
0.88940036,0.21
0.8819414,0.214
0.88004583,0.168
0.8690118,0.178
0.89772433,0.124
0.8510613,0.182
0.863226,0.2
0.86608887,0.192
0.86276305,0.176
0.8595142,0.188
0.8365878,0.25
0.83623797,0.218
0.83532095,0.194
0.8456845,0.188
0.832431,0.232
0.83364767,0.21
0.84763813,0.186
0.83633506,0.194
0.8248098,0.214
0.827183,0.232
0.8141759,0.208
0.8267343,0.218
0.8292439,0.202
0.81150424,0.18
0.8124444,0.248
0.8004292,0.28
0.80263954,0.224
0.8005779,0.194
0.8089096,0.202
0.7797095,0.262
0.79174584,0.246
0.8105946,0.244
0.81151015,0.196
0.78233093,0.234
0.81672996,0.17
0.79714584,0.198
0.78727496,0.196
0.78644645,0.224
0.7881956,0.204
0.7893817,0.188
0.7812496,0.248
0.7749111,0.222
0.78894794,0.22
0.7779163,0.218
0.78383386,0.232
0.77347225,0.178
0.77896345,0.242
0.76948917,0.206
0.7699272,0.214
0.769821,0.226
0.7684445,0.226
0.7578952,0.23
0.7684618,0.216
0.779137,0.174
0.77379924,0.24
0.7622248,0.232
0.7629318,0.18
0.7589919,0.262
0.7590497,0.3
0.7518563,0.29
0.74213785,0.32
0.75343865,0.212
0.7512707,0.268
0.7592225,0.216
0.74841106,0.266
0.74586284,0.254
0.7448096,0.218
0.74663615,0.228
0.74512357,0.21
0.7452581,0.23
0.74126476,0.246
0.7479604,0.256
0.7515803,0.266
0.74834603,0.242
0.74198115,0.24
0.74942374,0.232
0.7408456,0.268
0.75027514,0.224
0.73077726,0.242
0.72833353,0.23
0.7387908,0.256
0.73866916,0.236
0.7456813,0.228
0.7327952,0.26
0.7253132,0.258
0.7332289,0.224
0.72881997,0.24
0.73260635,0.232
0.71468586,0.32
0.7330793,0.282
0.7275837,0.298
0.73962736,0.246
0.72452617,0.248
0.7280562,0.284
0.7272559,0.272
0.7324209,0.21
0.7324399,0.27
0.72756296,0.274
0.7245732,0.266
0.73390144,0.288
0.7279695,0.27
0.7326939,0.282
0.73379654,0.242
0.7262866,0.252
0.7333354,0.218
0.7189384,0.24
0.7227449,0.316
0.7253433,0.222
0.7299536,0.242
0.7208088,0.262
0.72210795,0.212
0.7166719,0.264
0.7158228,0.244
0.7090318,0.234
0.7113702,0.274
0.71987003,0.208
0.7192478,0.186
0.7197011,0.264
0.7146672,0.252
0.7147123,0.304
0.712443,0.286
0.70556617,0.29
0.71327287,0.204
0.7084519,0.244
0.70447534,0.252
0.7046824,0.314
0.7038864,0.302
0.705494,0.264
0.69255763,0.302
0.7075798,0.244
0.7027744,0.264
0.6921342,0.32
0.6938367,0.334
0.7029499,0.252
0.6918128,0.336
0.69352233,0.254
0.70139444,0.284
0.6910773,0.32
0.70735264,0.23
0.7058956,0.244
0.7003908,0.276
0.70402515,0.248
0.69264054,0.316
0.70176303,0.282
0.711497,0.27
0.7025006,0.264
0.7004027,0.266
0.69033,0.258
0.6823564,0.282
0.68601686,0.3
0.6912297,0.28
0.7044487,0.248
0.7013733,0.25
0.7044209,0.252
0.6870028,0.286
0.6917627,0.294
0.6913046,0.3
0.70240396,0.236
0.6863214,0.296
0.6898535,0.322
0.7028314,0.22
0.69411844,0.29
0.6963531,0.272
0.6884554,0.302
0.69040483,0.256
0.6932744,0.274
0.6901655,0.26
0.69802976,0.312
0.6880255,0.298
0.6908597,0.266
0.69637156,0.266
0.6912006,0.232
0.6888146,0.288
0.6948092,0.256
0.67991513,0.34
0.69635123,0.246
0.6937416,0.266
0.6959501,0.264
0.6838019,0.29
0.66758484,0.298
0.6800956,0.312
0.67887414,0.286
0.6810823,0.244
0.68148696,0.282
0.6763204,0.284
0.6813814,0.342
0.67673093,0.286
0.68459886,0.268
0.6847422,0.294
0.67967004,0.258
0.6720013,0.282
0.6701003,0.268
0.67295367,0.31
0.67886645,0.25
0.6806633,0.32
0.67801446,0.268
0.66602904,0.33
0.6831165,0.252
0.6746641,0.27
0.66627705,0.324
0.66812825,0.288
0.66995704,0.286
0.67138934,0.242
0.6750571,0.284
0.6681981,0.326
0.6743694,0.34
0.6817262,0.256
0.6673013,0.332
0.67601204,0.292
0.6733181,0.25
0.67653877,0.244
0.67150015,0.308
0.6728549,0.27
0.67605394,0.264
0.6767882,0.258
0.6610088,0.354
0.6689015,0.29
0.67278004,0.308
0.6728672,0.306
0.6721523,0.322
0.6696295,0.23
0.6619975,0.332
0.6696797,0.324
0.6709236,0.278
0.66816664,0.34
0.6535843,0.328
0.67003274,0.278
0.65918976,0.31
0.6569552,0.336
0.6740727,0.294
0.66564196,0.284
0.6581846,0.322
0.6674214,0.308
0.65521634,0.322
0.65829104,0.282
0.66741854,0.268
0.65749043,0.318
0.6498391,0.32
0.65893865,0.31
0.65632015,0.38
0.65000355,0.328
0.6567507,0.352
0.6599387,0.328
0.64421356,0.404
0.64971626,0.346
0.6518587,0.284
0.6496991,0.36
0.64778185,0.306
0.6499516,0.348
0.66738313,0.262
0.6656556,0.266
0.6534306,0.386
0.6642765,0.31
0.6615665,0.338
0.65905255,0.318
0.65583205,0.284
0.6614746,0.272
0.6582248,0.306
0.65951496,0.336
0.65392363,0.332
0.65304685,0.36
0.6604342,0.318
0.6575436,0.332
0.65820545,0.316
0.65851045,0.286
0.6601353,0.316
0.65543085,0.336
0.6520951,0.338
0.6536363,0.292
0.6453548,0.346
0.6509885,0.36
0.6531745,0.322
0.64878017,0.316
0.6552193,0.328
0.6518659,0.316
0.64573354,0.348
0.65856457,0.246
0.66389835,0.266
0.6493273,0.336
0.6511642,0.312
0.6479106,0.348
0.64085335,0.36
0.6494093,0.326
0.6513754,0.266
0.63215446,0.37
0.6447738,0.344
0.65342903,0.278
0.6537006,0.288
0.65384245,0.3
0.6435918,0.312
0.64681846,0.32
0.6388945,0.366
0.64448,0.302
0.6506509,0.344
0.646158,0.336
0.64999384,0.336
0.6535231,0.29
0.63550496,0.372
0.6417935,0.328
0.63760775,0.308
0.6346101,0.334
0.6368865,0.316
0.6344232,0.38
0.6278112,0.388
0.63951236,0.37
0.65083295,0.326
0.6517475,0.328
0.64739615,0.34
0.63342977,0.326
0.6425198,0.296
0.6427041,0.276
0.6505805,0.244
0.6400488,0.316
0.6381812,0.324
0.6532831,0.284
0.64362043,0.294
0.63688815,0.34
0.63337654,0.394
0.64048094,0.342
0.6397485,0.338
0.6354174,0.308
0.6247039,0.432
0.635313,0.386
0.63736707,0.364
0.6400728,0.338
0.6417299,0.3
0.628552,0.382
0.62865156,0.34
0.6371958,0.316
0.64235926,0.31
0.630553,0.348
0.6405507,0.376
0.6257653,0.382
0.63530576,0.37
0.63584214,0.326
0.6491066,0.328
0.6388081,0.342
0.6394453,0.298
0.6272742,0.398
0.6378523,0.34
0.62585783,0.378
0.6381304,0.32
0.6285222,0.35
0.63854665,0.344
0.63278687,0.38
0.6310699,0.362
0.6333419,0.356
0.63540745,0.326
0.6360465,0.346
0.6409109,0.372
0.6274473,0.332
0.62582946,0.362
0.6312889,0.334
0.63350445,0.324
0.6296862,0.366
0.63841176,0.296
0.6305463,0.35
0.6288912,0.348
0.6325128,0.298
0.63379407,0.286
0.62969667,0.284
0.63828075,0.286
0.63371325,0.346
0.62205684,0.386
0.6296785,0.32
0.6314176,0.36
0.6203969,0.408
0.6311467,0.328
0.64203936,0.28
0.6285575,0.354
0.6171756,0.406
0.6204651,0.332
0.6326187,0.314
0.63804364,0.308
0.61199903,0.448
0.62596995,0.364
0.6359805,0.272
0.6256397,0.332
0.6284407,0.368
0.63389474,0.33
0.62546605,0.378
0.6285563,0.324
0.62793,0.354
0.6289373,0.31
0.6245616,0.342
0.62193525,0.382
0.6255912,0.346
0.6248748,0.282
0.6423171,0.27
0.6182676,0.348
0.62705356,0.336
0.6273182,0.372
0.6124105,0.402
0.62584203,0.352
0.63001347,0.33
0.61526436,0.39
0.6297027,0.304
0.62231773,0.362
0.62985986,0.332
0.6249909,0.38
0.6196671,0.36
0.6170165,0.386
0.627099,0.364
0.6212746,0.352
0.61952657,0.42
0.6109587,0.418
0.61643434,0.394
0.6134041,0.412
0.6130599,0.376
0.61947393,0.358
0.62338966,0.296
0.62318087,0.358
0.62383074,0.306
0.6273171,0.346
0.6196345,0.35
0.61513805,0.372
0.62384886,0.354
0.61961234,0.346
0.6116955,0.43
0.6222077,0.378
0.6185877,0.396
0.6176718,0.392
0.6193083,0.362
0.6091811,0.376
0.6227566,0.354
0.61443144,0.366
0.62372744,0.34
0.6181458,0.312
0.6116711,0.38
0.6197143,0.366
0.6143683,0.372
0.61837155,0.394
0.60716295,0.432
0.62425786,0.316
0.62457466,0.336
0.6236841,0.34
0.6129821,0.362
0.62447464,0.282
0.6220018,0.308
0.6178589,0.338
0.60387444,0.414
0.61204576,0.356
0.62116146,0.344
0.6158162,0.354
0.60533756,0.402
0.6147156,0.352
0.61118567,0.38
0.62246144,0.32
0.60740864,0.426
0.60473675,0.416
0.6108015,0.366
0.6151763,0.336
0.611791,0.408
0.620784,0.304
0.6183918,0.366
0.61391306,0.378
0.61096436,0.35
0.6120788,0.362
0.6137919,0.362
0.61411935,0.38
0.61233217,0.364
0.61540866,0.382
0.6325829,0.29
0.6081209,0.388
0.6057487,0.384
0.60984516,0.398
0.6204691,0.37
0.6123704,0.32
0.5971997,0.438
0.612937,0.342
0.60751665,0.414
0.60754603,0.362
0.61181223,0.312
0.60632706,0.362
0.6032558,0.38
0.6000664,0.448
0.61217624,0.358
0.61629343,0.33
0.6165931,0.33
0.60385215,0.354
