training_losses,training_recalls
0.8933779,0.08125
1.2207067,0.13125
1.2364229,0.10625
1.3471115,0.1125
1.2987736,0.0875
1.2526346,0.15
1.1125679,0.0875
1.1669555,0.0625
1.1362928,0.125
1.1072811,0.05
1.1349853,0.09375
1.08162,0.11875
1.0496925,0.11875
1.0492836,0.16875
1.0152451,0.20625
1.0408897,0.1625
1.0158379,0.10625
1.0212355,0.1375
0.9624766,0.18125
0.9772456,0.19375
0.98075104,0.1125
0.95255643,0.14375
0.9362543,0.2
0.9589416,0.16875
0.9614107,0.16875
0.94326913,0.2
0.93268526,0.09375
0.9447007,0.14375
0.9136211,0.21875
0.92522573,0.2
0.9273714,0.15625
0.91044694,0.19375
0.8750148,0.31875
0.9139799,0.20625
0.8792757,0.2125
0.88836586,0.175
0.86234605,0.1875
0.8840841,0.19375
0.88176537,0.19375
0.89362544,0.175
0.87355596,0.19375
0.8679886,0.20625
0.86553067,0.20625
0.84296024,0.23125
0.8742197,0.1375
0.88064706,0.1875
0.8434024,0.275
0.8274399,0.14375
0.84457,0.18125
0.83774817,0.21875
0.85520095,0.225
0.8341109,0.20625
0.8553859,0.21875
0.83713686,0.21875
0.83836955,0.1875
0.8462782,0.11875
0.81117857,0.20625
0.848114,0.1875
0.8083124,0.225
0.8173067,0.225
0.80745506,0.19375
0.7987895,0.175
0.8148447,0.24375
0.81176436,0.23125
0.81915,0.14375
0.7958166,0.19375
0.8232094,0.225
0.8292366,0.24375
0.77760315,0.225
0.76757604,0.2625
0.7936657,0.3375
0.80052817,0.21875
0.787655,0.2375
0.7920483,0.2125
0.8049234,0.2375
0.7977122,0.25625
0.79785997,0.15625
0.77043074,0.325
0.78723943,0.23125
0.81504536,0.2
0.8087705,0.2
0.7954048,0.24375
0.79121006,0.24375
0.79307413,0.18125
0.7671248,0.26875
0.76481044,0.35625
0.7905308,0.29375
0.76908356,0.1875
0.78031665,0.225
0.7562793,0.3
0.7752226,0.23125
0.7810353,0.2125
0.75548106,0.2625
0.7967234,0.18125
0.79552233,0.225
0.753811,0.33125
0.7753573,0.26875
0.77694654,0.1625
0.77559173,0.225
0.7689792,0.3375
0.7694442,0.24375
0.77056456,0.175
0.7512411,0.2375
0.74711674,0.30625
0.76710784,0.2875
0.7509304,0.28125
0.760934,0.26875
0.76472354,0.11875
0.7505715,0.30625
0.74918985,0.29375
0.76068753,0.2625
0.76393324,0.21875
0.7531592,0.23125
