losses,recalls
0.6122234,0.076
0.8014192,0.082
0.6923306,0.088
0.6165033,0.118
0.6277054,0.122
0.607527,0.098
0.594458,0.15
0.601101,0.114
0.59017944,0.098
0.586245,0.094
0.5815371,0.146
0.5815996,0.12
0.57641256,0.162
0.57945454,0.102
0.57760316,0.144
0.57923084,0.092
0.57148033,0.098
0.5755123,0.126
0.5797173,0.12
0.5720583,0.118
0.569714,0.136
0.57190776,0.096
0.5685833,0.12
0.5769953,0.116
0.571109,0.124
0.57370293,0.088
0.5698783,0.14
0.56969464,0.132
0.5659574,0.164
0.5687678,0.112
0.57172537,0.1
0.5737912,0.1
0.5666622,0.118
0.5729687,0.124
0.5614592,0.14
0.5668984,0.132
0.5654957,0.162
0.5652564,0.176
0.5670714,0.114
0.5644178,0.172
0.5648257,0.158
0.57242846,0.102
0.5678161,0.148
0.5692849,0.16
0.5696368,0.128
0.56918544,0.124
0.56803346,0.15
0.56527656,0.122
0.56636125,0.14
0.56444275,0.142
0.5686894,0.134
0.561821,0.124
0.56491995,0.162
0.5651968,0.14
0.5641376,0.126
0.5654157,0.124
0.5609351,0.15
0.5653152,0.124
0.5675051,0.102
0.5652746,0.14
0.5628981,0.15
0.5631967,0.148
0.563079,0.154
0.5676327,0.102
0.5599567,0.152
0.5598488,0.152
0.5650761,0.146
0.56256026,0.11
0.56486374,0.148
0.56428164,0.14
0.56180674,0.12
0.5636883,0.134
0.5591105,0.204
0.5622387,0.158
0.56422156,0.118
0.5589078,0.17
0.56314874,0.118
0.5654093,0.124
0.55775577,0.21
0.56742877,0.124
0.56194127,0.176
0.56084514,0.13
0.5619492,0.14
0.5618981,0.13
0.56092185,0.164
0.5641524,0.148
0.55526257,0.186
0.55497843,0.168
0.5592364,0.152
0.56287533,0.138
0.5586905,0.17
0.5572036,0.17
0.5589717,0.164
0.56042236,0.118
0.56581235,0.09
0.5573011,0.192
0.55993885,0.166
0.56115234,0.11
0.5587533,0.156
0.55917925,0.152
0.5593248,0.166
0.5635073,0.156
0.56068784,0.166
0.5603158,0.154
0.5596044,0.178
0.55471635,0.19
0.55541146,0.17
0.55771667,0.122
0.55405456,0.178
0.5606016,0.168
0.5593301,0.122
0.55539495,0.156
0.5608154,0.154
0.5599115,0.158
0.5626581,0.144
0.5592465,0.168
0.5552452,0.182
0.55925965,0.134
0.5600082,0.144
0.5559378,0.176
0.55552626,0.146
0.55747485,0.136
0.5546016,0.172
0.5625746,0.116
0.55520153,0.188
0.5586986,0.154
0.54967386,0.192
0.55953395,0.172
0.5607598,0.132
0.5617955,0.136
0.5555916,0.144
0.5588062,0.132
0.55822235,0.14
0.5523356,0.162
0.558324,0.17
0.5554478,0.152
0.5557496,0.128
0.55741024,0.148
0.5581934,0.136
0.55646485,0.164
0.5561833,0.13
0.5582171,0.148
0.56021905,0.136
0.56395185,0.108
0.555791,0.152
0.55873775,0.146
0.5555638,0.126
0.55812705,0.142
0.5538696,0.184
0.5561919,0.152
0.55882925,0.118
0.5597399,0.14
0.5548547,0.176
0.5602349,0.11
0.5564383,0.144
0.5527492,0.148
0.55121356,0.168
0.55529654,0.158
0.5566377,0.154
0.55757904,0.152
0.5519022,0.178
0.55932647,0.116
0.5602136,0.144
0.55715746,0.178
0.55776954,0.16
0.5569147,0.168
0.5533725,0.186
0.55766433,0.17
0.55543035,0.126
0.5559156,0.154
0.553397,0.194
0.5523077,0.14
0.5517467,0.168
0.55390584,0.152
0.55792004,0.164
0.5574384,0.156
0.5537869,0.19
0.5552734,0.112
0.5516382,0.218
0.5485656,0.252
0.5536275,0.184
0.5618532,0.14
0.5510008,0.158
0.5570678,0.146
0.5490065,0.228
0.55716014,0.176
0.55545646,0.166
0.55240166,0.152
0.55306643,0.186
0.55701953,0.152
0.5491914,0.21
0.553334,0.184
0.5530356,0.174
0.55789787,0.156
0.5520669,0.182
