losses,recalls
0.67053103,0.12
0.81965077,0.122
0.6925397,0.15
0.6558073,0.15
0.627956,0.182
0.61360264,0.16
0.6027328,0.194
0.5965702,0.182
0.5918273,0.162
0.5946032,0.17
0.5886275,0.212
0.59726197,0.164
0.5846438,0.218
0.5884943,0.168
0.5894663,0.19
0.58107847,0.204
0.5812124,0.26
0.57695585,0.238
0.583315,0.198
0.5810469,0.204
0.57743376,0.248
0.5837857,0.208
0.5812733,0.254
0.5803262,0.228
0.5810243,0.206
0.58023584,0.22
0.58205795,0.218
0.5835942,0.204
0.57841516,0.21
0.5772239,0.226
0.5806079,0.2
0.5754749,0.22
0.58349293,0.158
0.58243126,0.244
0.57575,0.228
0.5765164,0.236
0.5777538,0.18
0.5729143,0.236
0.57749534,0.234
0.5654424,0.252
0.56713307,0.258
0.56924945,0.24
0.5731721,0.232
0.569828,0.276
0.5737393,0.242
0.5672522,0.272
0.5726244,0.22
0.5736063,0.224
0.5677063,0.244
0.57377356,0.254
0.56726974,0.246
0.5669665,0.238
0.5695089,0.24
0.5707685,0.274
0.5735016,0.236
0.5681214,0.262
0.5686957,0.232
0.56975496,0.216
0.5661351,0.27
0.5686254,0.238
0.5684693,0.218
0.5692233,0.264
0.57326186,0.256
0.5719577,0.22
0.57312477,0.268
0.5682459,0.252
0.56671995,0.256
0.5645626,0.268
0.56632996,0.214
0.5612103,0.298
0.5699816,0.226
0.56259537,0.276
0.5660678,0.26
0.56899875,0.224
0.56733257,0.272
0.5697635,0.232
0.56571174,0.266
0.5684198,0.242
0.5662987,0.244
0.57275265,0.216
0.5665472,0.224
0.5655662,0.27
0.5595647,0.316
0.569341,0.228
0.56783694,0.274
0.56732094,0.3
0.5595703,0.298
0.5610432,0.288
0.56429446,0.314
0.56472903,0.254
0.56501496,0.256
0.5635394,0.276
0.564289,0.28
0.5660565,0.232
0.56625485,0.248
0.56185913,0.246
0.5660464,0.22
0.56352067,0.266
0.5677571,0.22
0.56721735,0.242
0.56204057,0.3
0.5668875,0.26
0.5619319,0.28
0.5615105,0.308
0.56401545,0.224
0.5669198,0.254
0.5625512,0.296
0.5595018,0.278
0.56515104,0.238
0.56188554,0.3
0.56216043,0.254
0.55513203,0.312
0.56370693,0.274
0.56061566,0.276
0.5671462,0.276
0.56381434,0.264
0.5608699,0.302
0.5618737,0.232
0.56220496,0.298
0.5598504,0.288
0.55961317,0.302
0.564121,0.266
0.5657486,0.238
