training_losses,training_recalls
0.7039733,0.19140625
0.9367105,0.1328125
0.79845315,0.1640625
0.7253479,0.171875
0.697749,0.1875
0.68415236,0.23046875
0.6985079,0.19140625
0.67000115,0.2421875
0.6771553,0.171875
0.6612803,0.2421875
0.65575176,0.2421875
0.6786836,0.203125
0.6689684,0.1953125
0.6639056,0.171875
0.6614055,0.2421875
0.660088,0.21484375
0.66725314,0.19140625
0.6539225,0.20703125
0.6634284,0.140625
0.6651988,0.203125
0.6528148,0.19921875
0.6590213,0.23046875
0.65584624,0.203125
0.65524983,0.15234375
0.6405072,0.203125
0.649318,0.25390625
0.6662737,0.1953125
0.6479986,0.1953125
0.65173244,0.16015625
0.66334844,0.17578125
0.6520122,0.26171875
0.65041554,0.26171875
0.6540528,0.16796875
0.65456605,0.25
0.6551379,0.17578125
0.6507851,0.2578125
0.64013064,0.33203125
0.64525884,0.23828125
0.65635586,0.2109375
0.6438416,0.18359375
0.65021163,0.20703125
0.6443176,0.26953125
0.65021294,0.22265625
0.6472225,0.21484375
0.6397376,0.24609375
0.6442841,0.265625
0.63607544,0.2421875
0.6410922,0.19921875
0.65738314,0.16015625
0.6404703,0.2578125
0.6399486,0.21875
0.647473,0.20703125
0.6358518,0.2578125
0.6426295,0.25
0.6465537,0.1796875
0.65060353,0.18359375
0.6475476,0.2109375
0.649681,0.21875
0.64713657,0.26953125
0.6425452,0.20703125
0.6297138,0.19921875
0.63862497,0.23828125
0.6455836,0.22265625
0.63894224,0.30859375
0.635236,0.19921875
0.6341975,0.23828125
0.6382114,0.22265625
0.6493243,0.171875
0.6433489,0.18359375
0.6378765,0.19921875
0.6424053,0.296875
0.64379853,0.23046875
0.64674276,0.21875
0.6363162,0.234375
0.63251203,0.2578125
0.63740456,0.21875
0.63163394,0.23828125
0.6210599,0.25
0.64235663,0.22265625
0.63997936,0.22265625
0.64077044,0.23046875
0.6414658,0.21484375
0.6262013,0.30859375
0.62661445,0.3046875
0.632597,0.25390625
0.6381496,0.24609375
0.6384685,0.234375
0.630282,0.2578125
0.6394714,0.20703125
0.63955224,0.20703125
0.63060975,0.2421875
0.6407013,0.2265625
0.64193904,0.3046875
0.6367266,0.2421875
0.6347475,0.2734375
0.6364755,0.18359375
0.6378572,0.21875
0.6393308,0.265625
0.64101076,0.19921875
0.63149565,0.25390625
0.6237144,0.25
0.6308534,0.21875
0.63466704,0.2421875
0.6309133,0.28515625
0.6383585,0.21875
0.62820435,0.25
0.62950706,0.23828125
0.62631273,0.2421875
0.63382065,0.203125
0.6347885,0.234375
0.6361886,0.25390625
0.63446206,0.234375
0.6351805,0.2421875
0.6326457,0.26953125
0.6296842,0.3125
0.63909894,0.23828125
0.6347369,0.25
